participant_id,transcript,question,domain,order,section,section_is_4,p
p-0062,3,Early Universe Galaxies,astrophysics,0,1,0,0.79
p-0062,3,Early Universe Galaxies,astrophysics,0,4,1,0.27
p-0063,7,Internal Temperature of Stars,brainteasers,0,1,0,0.4
p-0063,7,Internal Temperature of Stars,brainteasers,0,4,1,0.55
p-0064,12,Little Red Dots,astrophysics,0,1,0,0.4
p-0064,12,Little Red Dots,astrophysics,0,4,1,0.4
p-0065,11,Little Red Dots,astrophysics,1,1,0,0.6
p-0065,11,Little Red Dots,astrophysics,1,4,1,0.58
p-0066,4,Early Universe Galaxies,astrophysics,1,1,0,0.5
p-0066,4,Early Universe Galaxies,astrophysics,1,4,1,0.55
p-0067,1,Bergs,brainteasers,1,1,0,0.3
p-0067,1,Bergs,brainteasers,1,4,1,0.1
p-0068,12,Little Red Dots,astrophysics,1,1,0,0.55
p-0068,12,Little Red Dots,astrophysics,1,4,1,0.6
p-0069,5,Graviational Lens Modelling,astrophysics,0,1,0,0.45
p-0069,5,Graviational Lens Modelling,astrophysics,0,4,1,0.1
p-0070,1,Bergs,brainteasers,1,1,0,0.43
p-0070,1,Bergs,brainteasers,1,4,1,0.75
p-0071,12,Little Red Dots,astrophysics,0,1,0,0.5
p-0071,12,Little Red Dots,astrophysics,0,4,1,0.5
p-0072,17,ORM library,coding,1,1,0,0.5
p-0072,17,ORM library,coding,1,4,1,0.8
p-0073,19,Prefix-sum,coding,0,1,0,0.6
p-0073,19,Prefix-sum,coding,0,4,1,0.16
p-0074,21,Probability puzzle,brainteasers,1,1,0,0.25
p-0074,21,Probability puzzle,brainteasers,1,4,1,0.25
p-0075,7,Internal Temperature of Stars,brainteasers,0,1,0,0.5
p-0075,7,Internal Temperature of Stars,brainteasers,0,4,1,0.85
p-0076,24,Switch,brainteasers,0,1,0,0.4
p-0076,24,Switch,brainteasers,0,4,1,0.35
p-0077,11,Little Red Dots,astrophysics,0,1,0,0.6
p-0077,11,Little Red Dots,astrophysics,0,4,1,0.55
p-0078,2,Bergs,brainteasers,0,1,0,0.5
p-0078,2,Bergs,brainteasers,0,4,1,0.68
p-0079,14,Rust,coding,1,1,0,0.85
p-0079,14,Rust,coding,1,4,1,0.99
p-0080,16,Database deletion,coding,1,1,0,0.35
p-0080,16,Database deletion,coding,1,4,1,0.1
p-0081,16,Database deletion,coding,0,1,0,0.25
p-0081,16,Database deletion,coding,0,4,1,0.01
p-0082,4,Early Universe Galaxies,astrophysics,0,1,0,0.2
p-0082,4,Early Universe Galaxies,astrophysics,0,4,1,0.5
p-0083,2,Bergs,brainteasers,1,1,0,0.5
p-0083,2,Bergs,brainteasers,1,4,1,0.43
p-0084,8,Internal Temperature of Stars,brainteasers,0,1,0,0.55
p-0084,8,Internal Temperature of Stars,brainteasers,0,4,1,0.5
p-0085,7,Internal Temperature of Stars,brainteasers,0,1,0,0.55
p-0085,7,Internal Temperature of Stars,brainteasers,0,4,1,0.64
p-0086,19,Prefix-sum,coding,1,1,0,0.5
p-0086,19,Prefix-sum,coding,1,4,1,0.6
p-0087,4,Early Universe Galaxies,astrophysics,0,1,0,0.85
p-0087,4,Early Universe Galaxies,astrophysics,0,4,1,0.2
p-0088,18,ORM library,coding,0,1,0,0.4
p-0088,18,ORM library,coding,0,4,1,0.1
p-0089,24,Switch,brainteasers,0,1,0,0.4
p-0089,24,Switch,brainteasers,0,4,1,0.55
p-0090,5,Graviational Lens Modelling,astrophysics,0,1,0,0.55
p-0090,5,Graviational Lens Modelling,astrophysics,0,4,1,0.25
p-0091,18,ORM library,coding,0,1,0,0.25
p-0091,18,ORM library,coding,0,4,1,0.3
p-0092,9,Large Linear Structure,astrophysics,1,1,0,0.5
p-0092,9,Large Linear Structure,astrophysics,1,4,1,0.7
p-0093,7,Internal Temperature of Stars,brainteasers,1,1,0,0.6
p-0093,7,Internal Temperature of Stars,brainteasers,1,4,1,0.55
p-0094,24,Switch,brainteasers,1,1,0,0.38
p-0094,24,Switch,brainteasers,1,4,1,0.47
p-0095,12,Little Red Dots,astrophysics,1,1,0,0.72
p-0095,12,Little Red Dots,astrophysics,1,4,1,0.77
p-0096,24,Switch,brainteasers,0,1,0,0.7
p-0096,24,Switch,brainteasers,0,4,1,0.85
p-0097,19,Prefix-sum,coding,1,1,0,0.6
p-0097,19,Prefix-sum,coding,1,4,1,0.6
p-0098,10,Large Linear Structure,astrophysics,1,1,0,0.5
p-0098,10,Large Linear Structure,astrophysics,1,4,1,0.4
p-0099,4,Early Universe Galaxies,astrophysics,1,1,0,0.6
p-0099,4,Early Universe Galaxies,astrophysics,1,4,1,0.61
p-0100,22,Probability puzzle,brainteasers,0,1,0,0.99
p-0100,22,Probability puzzle,brainteasers,0,4,1,0.01
p-0101,14,Rust,coding,0,1,0,0.65
p-0101,14,Rust,coding,0,4,1,0.94
p-0102,7,Internal Temperature of Stars,brainteasers,1,1,0,0.5
p-0102,7,Internal Temperature of Stars,brainteasers,1,4,1,0.85
p-0103,17,ORM library,coding,0,1,0,0.5
p-0103,17,ORM library,coding,0,4,1,0.5
p-0104,15,Database deletion,coding,0,1,0,0.3
p-0104,15,Database deletion,coding,0,4,1,0.35
p-0105,19,Prefix-sum,coding,0,1,0,0.6
p-0105,19,Prefix-sum,coding,0,4,1,0.45
p-0106,18,ORM library,coding,0,1,0,0.43
p-0106,18,ORM library,coding,0,4,1,0.02
p-0107,17,ORM library,coding,0,1,0,0.48
p-0107,17,ORM library,coding,0,4,1,0.68
p-0108,6,Graviational Lens Modelling,astrophysics,0,1,0,0.5
p-0108,6,Graviational Lens Modelling,astrophysics,0,4,1,0.25
p-0109,10,Large Linear Structure,astrophysics,1,1,0,0.37
p-0109,10,Large Linear Structure,astrophysics,1,4,1,0.5
p-0110,5,Graviational Lens Modelling,astrophysics,0,1,0,0.35
p-0110,5,Graviational Lens Modelling,astrophysics,0,4,1,0.7
p-0111,6,Graviational Lens Modelling,astrophysics,0,1,0,0.6
p-0111,6,Graviational Lens Modelling,astrophysics,0,4,1,0.42
p-0112,12,Little Red Dots,astrophysics,1,1,0,0.55
p-0112,12,Little Red Dots,astrophysics,1,4,1,0.42
p-0113,10,Large Linear Structure,astrophysics,1,1,0,0.5
p-0113,10,Large Linear Structure,astrophysics,1,4,1,0.5
p-0114,22,Probability puzzle,brainteasers,1,1,0,0.29
p-0114,22,Probability puzzle,brainteasers,1,4,1,0.2
p-0115,5,Graviational Lens Modelling,astrophysics,0,1,0,0.5
p-0115,5,Graviational Lens Modelling,astrophysics,0,4,1,0.45
p-0116,9,Large Linear Structure,astrophysics,0,1,0,0.41
p-0116,9,Large Linear Structure,astrophysics,0,4,1,0.47
p-0117,17,ORM library,coding,0,1,0,0.35
p-0117,17,ORM library,coding,0,4,1,0.75
p-0118,18,ORM library,coding,0,1,0,0.5
p-0118,18,ORM library,coding,0,4,1,0.72
p-0119,23,Switch,brainteasers,0,1,0,0.64
p-0119,23,Switch,brainteasers,0,4,1,0.76
p-0120,3,Early Universe Galaxies,astrophysics,0,1,0,0.5
p-0120,3,Early Universe Galaxies,astrophysics,0,4,1,0.52
p-0121,7,Internal Temperature of Stars,brainteasers,0,1,0,0.7
p-0121,7,Internal Temperature of Stars,brainteasers,0,4,1,0.55
p-0122,24,Switch,brainteasers,1,1,0,0.4
p-0122,24,Switch,brainteasers,1,4,1,0.45
p-0123,7,Internal Temperature of Stars,brainteasers,0,1,0,0.4
p-0123,7,Internal Temperature of Stars,brainteasers,0,4,1,0.4
p-0124,17,ORM library,coding,1,1,0,0.6
p-0124,17,ORM library,coding,1,4,1,0.5
p-0125,8,Internal Temperature of Stars,brainteasers,1,1,0,0.5
p-0125,8,Internal Temperature of Stars,brainteasers,1,4,1,0.65
p-0126,12,Little Red Dots,astrophysics,1,1,0,0.2
p-0126,12,Little Red Dots,astrophysics,1,4,1,0.1
p-0127,8,Internal Temperature of Stars,brainteasers,1,1,0,0.75
p-0127,8,Internal Temperature of Stars,brainteasers,1,4,1,0.65
p-0128,6,Graviational Lens Modelling,astrophysics,0,1,0,0.35
p-0128,6,Graviational Lens Modelling,astrophysics,0,4,1,0.8
p-0129,17,ORM library,coding,1,1,0,0.99
p-0129,17,ORM library,coding,1,4,1,0.96
p-0130,22,Probability puzzle,brainteasers,0,1,0,0.85
p-0130,22,Probability puzzle,brainteasers,0,4,1,0.01
p-0131,6,Graviational Lens Modelling,astrophysics,1,1,0,0.66
p-0131,6,Graviational Lens Modelling,astrophysics,1,4,1,0.65
p-0132,7,Internal Temperature of Stars,brainteasers,1,1,0,0.51
p-0132,7,Internal Temperature of Stars,brainteasers,1,4,1,0.65
p-0133,13,Rust,coding,1,1,0,0.5
p-0133,13,Rust,coding,1,4,1,0.5
p-0134,18,ORM library,coding,0,1,0,0.45
p-0134,18,ORM library,coding,0,4,1,0.6
p-0135,12,Little Red Dots,astrophysics,0,1,0,0.5
p-0135,12,Little Red Dots,astrophysics,0,4,1,0.55
p-0136,6,Graviational Lens Modelling,astrophysics,1,1,0,0.4
p-0136,6,Graviational Lens Modelling,astrophysics,1,4,1,0.6
p-0137,11,Little Red Dots,astrophysics,1,1,0,0.25
p-0137,11,Little Red Dots,astrophysics,1,4,1,0.6
p-0138,18,ORM library,coding,0,1,0,0.45
p-0138,18,ORM library,coding,0,4,1,0.45
p-0139,16,Database deletion,coding,0,1,0,0.6
p-0139,16,Database deletion,coding,0,4,1,0.6
p-0140,17,ORM library,coding,1,1,0,0.45
p-0140,17,ORM library,coding,1,4,1,0.21
p-0141,4,Early Universe Galaxies,astrophysics,1,1,0,0.75
p-0141,4,Early Universe Galaxies,astrophysics,1,4,1,0.55
p-0142,16,Database deletion,coding,1,1,0,0.35
p-0142,16,Database deletion,coding,1,4,1,0.55
p-0143,14,Rust,coding,1,1,0,0.75
p-0143,14,Rust,coding,1,4,1,0.9
p-0144,23,Switch,brainteasers,1,1,0,0.7
p-0144,23,Switch,brainteasers,1,4,1,0.55
p-0145,3,Early Universe Galaxies,astrophysics,1,1,0,0.55
p-0145,3,Early Universe Galaxies,astrophysics,1,4,1,0.4
p-0146,5,Graviational Lens Modelling,astrophysics,1,1,0,0.6
p-0146,5,Graviational Lens Modelling,astrophysics,1,4,1,0.3
p-0147,3,Early Universe Galaxies,astrophysics,1,1,0,0.5
p-0147,3,Early Universe Galaxies,astrophysics,1,4,1,0.9
p-0148,19,Prefix-sum,coding,1,1,0,0.5
p-0148,19,Prefix-sum,coding,1,4,1,0.3
p-0149,3,Early Universe Galaxies,astrophysics,1,1,0,0.55
p-0149,3,Early Universe Galaxies,astrophysics,1,4,1,0.4
p-0150,8,Internal Temperature of Stars,brainteasers,1,1,0,0.51
p-0150,8,Internal Temperature of Stars,brainteasers,1,4,1,0.6
p-0151,18,ORM library,coding,1,1,0,0.45
p-0151,18,ORM library,coding,1,4,1,0.4
p-0152,4,Early Universe Galaxies,astrophysics,0,1,0,0.8
p-0152,4,Early Universe Galaxies,astrophysics,0,4,1,0.76
p-0153,17,ORM library,coding,1,1,0,0.45
p-0153,17,ORM library,coding,1,4,1,0.35
p-0154,2,Bergs,brainteasers,0,1,0,0.59
p-0154,2,Bergs,brainteasers,0,4,1,0.92
p-0155,18,ORM library,coding,0,1,0,0.35
p-0155,18,ORM library,coding,0,4,1,0.45
p-0156,2,Bergs,brainteasers,0,1,0,0.5
p-0156,2,Bergs,brainteasers,0,4,1,0.4
p-0157,24,Switch,brainteasers,1,1,0,0.5
p-0157,24,Switch,brainteasers,1,4,1,0.75
p-0158,13,Rust,coding,1,1,0,0.5
p-0158,13,Rust,coding,1,4,1,0.92
p-0159,13,Rust,coding,0,1,0,0.7
p-0159,13,Rust,coding,0,4,1,0.9
p-0160,13,Rust,coding,0,1,0,0.55
p-0160,13,Rust,coding,0,4,1,0.52
p-0161,4,Early Universe Galaxies,astrophysics,1,1,0,0.6
p-0161,4,Early Universe Galaxies,astrophysics,1,4,1,0.4
p-0162,15,Database deletion,coding,0,1,0,0.44
p-0162,15,Database deletion,coding,0,4,1,0.41
p-0163,23,Switch,brainteasers,0,1,0,0.6
p-0163,23,Switch,brainteasers,0,4,1,0.65
p-0164,23,Switch,brainteasers,0,1,0,0.4
p-0164,23,Switch,brainteasers,0,4,1,0.05
p-0165,19,Prefix-sum,coding,1,1,0,0.7
p-0165,19,Prefix-sum,coding,1,4,1,0.8
p-0166,4,Early Universe Galaxies,astrophysics,0,1,0,0.57
p-0166,4,Early Universe Galaxies,astrophysics,0,4,1,0.37
p-0167,4,Early Universe Galaxies,astrophysics,0,1,0,0.5
p-0167,4,Early Universe Galaxies,astrophysics,0,4,1,0.5
p-0168,8,Internal Temperature of Stars,brainteasers,0,1,0,0.85
p-0168,8,Internal Temperature of Stars,brainteasers,0,4,1,0.64
p-0169,14,Rust,coding,1,1,0,0.5
p-0169,14,Rust,coding,1,4,1,0.75
p-0170,4,Early Universe Galaxies,astrophysics,1,1,0,0.5
p-0170,4,Early Universe Galaxies,astrophysics,1,4,1,0.71
p-0171,11,Little Red Dots,astrophysics,0,1,0,0.34
p-0171,11,Little Red Dots,astrophysics,0,4,1,0.71
p-0172,7,Internal Temperature of Stars,brainteasers,1,1,0,0.99
p-0172,7,Internal Temperature of Stars,brainteasers,1,4,1,0.75
p-0173,17,ORM library,coding,0,1,0,0.55
p-0173,17,ORM library,coding,0,4,1,0.75
p-0174,11,Little Red Dots,astrophysics,0,1,0,0.3
p-0174,11,Little Red Dots,astrophysics,0,4,1,0.75
p-0175,19,Prefix-sum,coding,0,1,0,0.53
p-0175,19,Prefix-sum,coding,0,4,1,0.92
p-0176,2,Bergs,brainteasers,1,1,0,0.6
p-0176,2,Bergs,brainteasers,1,4,1,0.05
p-0177,9,Large Linear Structure,astrophysics,0,1,0,0.49
p-0177,9,Large Linear Structure,astrophysics,0,4,1,0.85
p-0178,21,Probability puzzle,brainteasers,0,1,0,0.6
p-0178,21,Probability puzzle,brainteasers,0,4,1,0.05
p-0179,3,Early Universe Galaxies,astrophysics,1,1,0,0.76
p-0179,3,Early Universe Galaxies,astrophysics,1,4,1,0.79
p-0180,7,Internal Temperature of Stars,brainteasers,1,1,0,0.8
p-0180,7,Internal Temperature of Stars,brainteasers,1,4,1,0.91
p-0181,21,Probability puzzle,brainteasers,1,1,0,0.35
p-0181,21,Probability puzzle,brainteasers,1,4,1,0.25
p-0182,15,Database deletion,coding,1,1,0,0.4
p-0182,15,Database deletion,coding,1,4,1,0.41
p-0183,9,Large Linear Structure,astrophysics,0,1,0,0.35
p-0183,9,Large Linear Structure,astrophysics,0,4,1,0.45
p-0184,1,Bergs,brainteasers,0,1,0,0.01
p-0184,1,Bergs,brainteasers,0,4,1,0.01
p-0185,23,Switch,brainteasers,0,1,0,0.6
p-0185,23,Switch,brainteasers,0,4,1,0.55
p-0186,7,Internal Temperature of Stars,brainteasers,1,1,0,0.6
p-0186,7,Internal Temperature of Stars,brainteasers,1,4,1,0.55
p-0187,4,Early Universe Galaxies,astrophysics,0,1,0,0.7
p-0187,4,Early Universe Galaxies,astrophysics,0,4,1,0.68
p-0188,7,Internal Temperature of Stars,brainteasers,1,1,0,0.5
p-0188,7,Internal Temperature of Stars,brainteasers,1,4,1,0.95
p-0189,16,Database deletion,coding,0,1,0,0.5
p-0189,16,Database deletion,coding,0,4,1,0.4
p-0190,22,Probability puzzle,brainteasers,0,1,0,0.3
p-0190,22,Probability puzzle,brainteasers,0,4,1,0.01
p-0191,16,Database deletion,coding,0,1,0,0.3
p-0191,16,Database deletion,coding,0,4,1,0.4
p-0192,10,Large Linear Structure,astrophysics,1,1,0,0.25
p-0192,10,Large Linear Structure,astrophysics,1,4,1,0.65
p-0193,3,Early Universe Galaxies,astrophysics,1,1,0,0.85
p-0193,3,Early Universe Galaxies,astrophysics,1,4,1,0.8
p-0194,9,Large Linear Structure,astrophysics,0,1,0,0.45
p-0194,9,Large Linear Structure,astrophysics,0,4,1,0.7
p-0195,22,Probability puzzle,brainteasers,1,1,0,0.05
p-0195,22,Probability puzzle,brainteasers,1,4,1,0.01
p-0196,19,Prefix-sum,coding,1,1,0,0.43
p-0196,19,Prefix-sum,coding,1,4,1,0.35
p-0197,1,Bergs,brainteasers,1,1,0,0.15
p-0197,1,Bergs,brainteasers,1,4,1,0.9
p-0198,13,Rust,coding,1,1,0,0.5
p-0198,13,Rust,coding,1,4,1,0.89
p-0199,8,Internal Temperature of Stars,brainteasers,1,1,0,0.45
p-0199,8,Internal Temperature of Stars,brainteasers,1,4,1,0.99
p-0200,2,Bergs,brainteasers,0,1,0,0.6
p-0200,2,Bergs,brainteasers,0,4,1,0.9
p-0201,9,Large Linear Structure,astrophysics,0,1,0,0.3
p-0201,9,Large Linear Structure,astrophysics,0,4,1,0.43
p-0202,15,Database deletion,coding,1,1,0,0.75
p-0202,15,Database deletion,coding,1,4,1,0.5
p-0203,17,ORM library,coding,1,1,0,0.25
p-0203,17,ORM library,coding,1,4,1,0.01
p-0204,22,Probability puzzle,brainteasers,0,1,0,0.25
p-0204,22,Probability puzzle,brainteasers,0,4,1,0.4
p-0205,6,Graviational Lens Modelling,astrophysics,1,1,0,0.4
p-0205,6,Graviational Lens Modelling,astrophysics,1,4,1,0.45
p-0206,19,Prefix-sum,coding,0,1,0,0.55
p-0206,19,Prefix-sum,coding,0,4,1,0.85
p-0207,18,ORM library,coding,1,1,0,0.6
p-0207,18,ORM library,coding,1,4,1,0.9
p-0208,8,Internal Temperature of Stars,brainteasers,0,1,0,0.5
p-0208,8,Internal Temperature of Stars,brainteasers,0,4,1,0.4
p-0209,3,Early Universe Galaxies,astrophysics,0,1,0,0.55
p-0209,3,Early Universe Galaxies,astrophysics,0,4,1,0.55
p-0210,7,Internal Temperature of Stars,brainteasers,0,1,0,0.5
p-0210,7,Internal Temperature of Stars,brainteasers,0,4,1,0.55
p-0211,2,Bergs,brainteasers,0,1,0,0.48
p-0211,2,Bergs,brainteasers,0,4,1,0.45
p-0212,2,Bergs,brainteasers,1,1,0,0.5
p-0212,2,Bergs,brainteasers,1,4,1,0.98
p-0213,16,Database deletion,coding,0,1,0,0.5
p-0213,16,Database deletion,coding,0,4,1,0.4
p-0214,6,Graviational Lens Modelling,astrophysics,1,1,0,0.45
p-0214,6,Graviational Lens Modelling,astrophysics,1,4,1,0.25
p-0215,11,Little Red Dots,astrophysics,1,1,0,0.8
p-0215,11,Little Red Dots,astrophysics,1,4,1,0.8
p-0216,12,Little Red Dots,astrophysics,0,1,0,0.5
p-0216,12,Little Red Dots,astrophysics,0,4,1,0.45
p-0217,6,Graviational Lens Modelling,astrophysics,0,1,0,0.5
p-0217,6,Graviational Lens Modelling,astrophysics,0,4,1,0.4
p-0218,12,Little Red Dots,astrophysics,1,1,0,0.4
p-0218,12,Little Red Dots,astrophysics,1,4,1,0.6
p-0219,1,Bergs,brainteasers,0,1,0,0.62
p-0219,1,Bergs,brainteasers,0,4,1,0.72
p-0220,12,Little Red Dots,astrophysics,0,1,0,0.67
p-0220,12,Little Red Dots,astrophysics,0,4,1,0.72
p-0221,7,Internal Temperature of Stars,brainteasers,1,1,0,0.5
p-0221,7,Internal Temperature of Stars,brainteasers,1,4,1,0.6
p-0222,10,Large Linear Structure,astrophysics,0,1,0,0.3
p-0222,10,Large Linear Structure,astrophysics,0,4,1,0.71
p-0223,19,Prefix-sum,coding,1,1,0,0.75
p-0223,19,Prefix-sum,coding,1,4,1,0.99
p-0224,6,Graviational Lens Modelling,astrophysics,1,1,0,0.44
p-0224,6,Graviational Lens Modelling,astrophysics,1,4,1,0.41
p-0225,23,Switch,brainteasers,0,1,0,0.55
p-0225,23,Switch,brainteasers,0,4,1,0.8
p-0226,1,Bergs,brainteasers,1,1,0,0.5
p-0226,1,Bergs,brainteasers,1,4,1,0.3
p-0227,17,ORM library,coding,1,1,0,0.5
p-0227,17,ORM library,coding,1,4,1,0.67
p-0228,3,Early Universe Galaxies,astrophysics,0,1,0,0.25
p-0228,3,Early Universe Galaxies,astrophysics,0,4,1,0.1
p-0229,11,Little Red Dots,astrophysics,0,1,0,0.5
p-0229,11,Little Red Dots,astrophysics,0,4,1,0.43
p-0230,10,Large Linear Structure,astrophysics,0,1,0,0.45
p-0230,10,Large Linear Structure,astrophysics,0,4,1,0.5
p-0231,7,Internal Temperature of Stars,brainteasers,1,1,0,0.66
p-0231,7,Internal Temperature of Stars,brainteasers,1,4,1,0.99
p-0232,19,Prefix-sum,coding,1,1,0,0.75
p-0232,19,Prefix-sum,coding,1,4,1,0.8
